FileName,Marks
K213261,3
K214693,2
K214878,3
K213160,2
K213223,3
K214657,1
K213380,2
K214920,3
K213370,3
K214901,2
K213286,2
K214933,1
K214944,1
K213181,1
K213444,1
K214508,1
K214581,1
K213155,2
K213376,2
K213165,1
K214536,2
K213286,2
K213348,2
K213303,1
K214835,1
K214675,1
K213274,1
K214836,1
K214855,2
K213307,1
K214541,1
K214664,2
K213170,1
K213306,3
K214842,1
K213311,1
K213374,3
K213326,1
K214868,1
K213339,1
K214867,1
K213309,3
K213436,2
K213188,1
K214866,3
K214929,1
K213291,1
K201903,1
K214655,3
K213273,1
K213383,1
K214834,1
K213240,3
K213335,1
K213249,1
K213248,1
K213177,2
K214866,3
K214600,1
K214827,2
K213154,3
K213154,2
K213329,1
K213211,1
K214588,1
K213390,2
K213421,3
K214620,3
K213385,1
K214680,1
K214547,3
K213211,2
K214833,1
K214678,2
K214676,1
K214523,3
K213211,1
K213450,2
K214946,2
K213385,2
K214548,1
K214680,1
K214692,2
K213392,3
K213278,3
K213425,2
K214931,1
K214667,3
K214571,2
K213288,2
K213206,1
K213297,2
K214614,1
K214942,2
K213388,1
K213242,3
K213239,1
K214585,3
K214553,2
K213434,2
K213156,1
K213193,1
K213386,3
K180149,1
K213366,2
K213281,3
K214824,1
K213398,2
K214502,2
K213152,2
K213354,3
K214689,1
K214549,3
K213153,3
K214577,3
K213410,2
K213232,2
K213333,3
K214596,2
K214549,3
K213334,1
K213204,2
K214945,3
K214670,1
K214545,1
K213250,1
K214696,2
K213420,3
K213243,3
K213200,3
K213214,3
K213416,3
K213172,1
K213268,1
K214659,3
K213456,1
K213208,3
K214592,1
K213330,3
K213403,3
K214505,1
K214507,3
K213247,2
K213371,3
K213399,1
K214672,2
K214922,2
K213368,3
K214695,2
K214832,1
K214518,3
K214673,1
K213372,1
K201715,3
K214906,3
K213353,3
K214603,1
K213280,1
K213253,3
K214690,1
K213166,3
K213458,3
K213424,3
K213184,1
K213437,3
K213314,3
K214904,2
K213350,2
K214658,3
K213292,3
K214557,3
K213169,3
K214580,3
K214898,3
K213352,3
K214928,3
K213405,3
K213424,3
K213405,3
K213166,3
K214573,3
K213418,1
K213285,1
K214532,2
K214840,1
K214583,2
K213270,1
K213959,3
K213001,2
K213006,2
K214787,1
K213563,1
K213632,1
K213626,1
K213578,1
K213564,3
K213570,1
K213604,2
K213558,1
K214766,1
K213597,1
K213569,1
K214921,3
K213218,3
K213459,3
K214921,3
K213241,3
K213233,1
K214858,3
K213439,1
K214665,1
K214500,3
K213331,1
K214582,3
K213364,3
K213463,1
K201889,3
K214578,3
K213296,2
K213459,2
K214601,1
