FileName,Marks
686.c,05.00
700.c,05.00
688.c,05.00
811.c,05.00
682.c,05.00
698.c,05.00
801.c,05.00
692.c,05.00
805.c,05.00
696.c,05.00
685.c,05.00
812.c,05.00
681.c,05.00
808.c,05.00
802.c,05.00
691.c,05.00
806.c,05.00
695.c,05.00
684.c,05.00
690.c,05.00
803.c,05.00
809.c,05.00
694.c,05.00
807.c,05.00
687.c,05.00
683.c,05.00
810.c,05.00
689.c,05.00
693.c,05.00
699.c,05.00
697.c,05.00
804.c,05.00
482.c,10.00
371.c,10.00
235.c,10.00
725.c,10.00
396.c,10.00
465.c,10.00
310.c,10.00
254.c,10.00
488.c,10.00
744.c,10.00
404.c,10.00
440.c,10.00
210.c,10.00
354.c,10.00
421.c,10.00
786.c,10.00
296.c,10.00
761.c,10.00
271.c,10.00
335.c,10.00
782.c,10.00
292.c,10.00
425.c,10.00
765.c,10.00
275.c,10.00
331.c,10.00
298.c,10.00
444.c,10.00
500.c,10.00
788.c,10.00
704.c,10.00
214.c,10.00
350.c,10.00
314.c,10.00
250.c,10.00
740.c,10.00
400.c,10.00
398.c,10.00
375.c,10.00
231.c,10.00
721.c,10.00
486.c,10.00
461.c,10.00
392.c,10.00
792.c,10.00
282.c,10.00
435.c,10.00
775.c,10.00
321.c,10.00
265.c,10.00
288.c,10.00
454.c,10.00
798.c,10.00
714.c,10.00
340.c,10.00
204.c,10.00
240.c,10.00
304.c,10.00
750.c,10.00
410.c,10.00
388.c,10.00
221.c,10.00
365.c,10.00
731.c,10.00
496.c,10.00
471.c,10.00
382.c,10.00
492.c,10.00
225.c,10.00
361.c,10.00
735.c,10.00
386.c,10.00
475.c,10.00
244.c,10.00
300.c,10.00
498.c,10.00
754.c,10.00
414.c,10.00
450.c,10.00
710.c,10.00
344.c,10.00
431.c,10.00
796.c,10.00
286.c,10.00
771.c,10.00
325.c,10.00
261.c,10.00
428.c,10.00
443.c,10.00
768.c,10.00
278.c,10.00
357.c,10.00
213.c,10.00
703.c,10.00
295.c,10.00
785.c,10.00
449.c,10.00
422.c,10.00
709.c,10.00
219.c,10.00
336.c,10.00
272.c,10.00
762.c,10.00
726.c,10.00
236.c,10.00
372.c,10.00
319.c,10.00
481.c,10.00
466.c,10.00
395.c,10.00
747.c,10.00
257.c,10.00
313.c,10.00
378.c,10.00
407.c,10.00
238.c,10.00
728.c,10.00
743.c,10.00
253.c,10.00
317.c,10.00
468.c,10.00
403.c,10.00
259.c,10.00
749.c,10.00
485.c,10.00
722.c,10.00
232.c,10.00
376.c,10.00
409.c,10.00
391.c,10.00
462.c,10.00
426.c,10.00
291.c,10.00
781.c,10.00
332.c,10.00
276.c,10.00
766.c,10.00
359.c,10.00
447.c,10.00
353.c,10.00
217.c,10.00
707.c,10.00
338.c,10.00
228.c,10.00
738.c,10.00
753.c,10.00
307.c,10.00
243.c,10.00
478.c,10.00
413.c,10.00
249.c,10.00
759.c,10.00
495.c,10.00
732.c,10.00
366.c,10.00
222.c,10.00
419.c,10.00
381.c,10.00
472.c,10.00
436.c,10.00
281.c,10.00
791.c,10.00
266.c,10.00
322.c,10.00
776.c,10.00
349.c,10.00
457.c,10.00
207.c,10.00
343.c,10.00
717.c,10.00
328.c,10.00
438.c,10.00
453.c,10.00
778.c,10.00
268.c,10.00
203.c,10.00
347.c,10.00
713.c,10.00
285.c,10.00
795.c,10.00
459.c,10.00
432.c,10.00
719.c,10.00
209.c,10.00
262.c,10.00
326.c,10.00
772.c,10.00
736.c,10.00
362.c,10.00
226.c,10.00
309.c,10.00
491.c,10.00
476.c,10.00
385.c,10.00
757.c,10.00
303.c,10.00
247.c,10.00
368.c,10.00
417.c,10.00
337.c,10.00
273.c,10.00
763.c,10.00
708.c,10.00
218.c,10.00
423.c,10.00
294.c,10.00
448.c,10.00
784.c,10.00
356.c,10.00
212.c,10.00
702.c,10.00
769.c,10.00
279.c,10.00
442.c,10.00
429.c,10.00
406.c,10.00
379.c,10.00
746.c,10.00
256.c,10.00
312.c,10.00
394.c,10.00
467.c,10.00
318.c,10.00
480.c,10.00
727.c,10.00
237.c,10.00
373.c,10.00
463.c,10.00
408.c,10.00
390.c,10.00
723.c,10.00
233.c,10.00
377.c,10.00
258.c,10.00
484.c,10.00
748.c,10.00
402.c,10.00
469.c,10.00
742.c,10.00
252.c,10.00
316.c,10.00
239.c,10.00
729.c,10.00
339.c,10.00
352.c,10.00
216.c,10.00
706.c,10.00
446.c,10.00
358.c,10.00
333.c,10.00
277.c,10.00
767.c,10.00
290.c,10.00
780.c,10.00
427.c,10.00
473.c,10.00
418.c,10.00
