FileName,Marks
K213261,10
K214693,5
K214878,10
K213160,6
K213223,10
K214657,0
K213380,7
K214920,10
K213370,10
K214901,5
K213286,9
K214933,3
K214944,3
K213181,4
K213444,2
K214508,3
K214581,3
K213155,5
K213376,5
K213165,3
K214536,7
K213286,9
K213348,5
K213303,1
K214835,3
K214675,1
K213274,1
K214836,4
K214855,5
K213307,3
K214541,3
K214677,3
K214664,7
K213170,3
K213306,10
K214842,2
K213311,4
K213374,10
K213326,0
K214868,2
K213339,3
K214867,3
K213309,10
K213436,6
K213188,2
K214866,10
K214929,2
K213291,4
K201903,4
K214655,10
K213273,2
K213383,1
K214834,0
K213240,10
K213335,2
K213249,2
K213248,4
K213177,5
K214866,10
K214600,1
K214827,5
K213154,10
K213154,6
K213329,0
K213211,4
K214588,0
K213390,6
K213421,10
K214620,10
K213385,4
K214680,4
K214547,10
K213211,5
K214833,3
K214678,6
K214523,10
K213211,4
K213450,5
K214946,9
K213385,5
K214548,4
K214680,4
K214692,6
K213392,10
K213278,10
K213425,6
K214931,3
K214667,10
K214571,6
K213288,5
K213206,4
K213297,5
K214614,4
K214942,5
K213388,4
K213242,10
K213239,4
K214585,10
K214553,5
K213434,8
K213156,4
K213193,1
K213386,10
K180149,3
K213366,5
K213281,10
K214824,4
K213398,6
K214502,6
K213152,7
K213354,10
K214689,1
K214549,10
K213153,10
K214577,10
K213410,6
K213232,8
K213333,10
K214596,8
K214549,10
K213334,4
K213204,9
K214945,10
K214670,4
K214545,4
K213250,2
K214696,5
K213420,10
K213243,10
K213200,10
K213214,10
K213416,10
K213172,4
K213268,4
K214659,10
K213456,4
K213208,10
K214592,4
K213330,10
K213403,10
K214505,2
K214507,10
K213247,8
K213371,10
K213399,4
K214672,7
K214922,7
K213368,10
K214695,5
K214832,4
K214518,10
K214673,4
K213372,0
K201715,10
K214906,10
K213353,10
K214603,4
K213280,4
K213253,10
K214690,4
K213166,10
K213458,10
K213424,10
K213184,4
K213437,10
K213314,10
K214904,9
K213350,9
K214658,10
K213292,10
K214557,10
K213169,10
K214580,10
K214898,10
K213352,10
K214928,10
K213405,10
K213424,10
K213405,10
K213166,10
K214573,10
K213418,4
K213285,4
K214532,7
K214840,4
K214583,6
K213270,4
K213959,10
K213001,8
K213006,7
K214787,2
K213563,4
K213632,3
K213626,4
K213578,4
K213564,10
K213570,0
K213604,5
K213558,0
K214766,0
K213597,0
K213569,0
K214921,10
K213218,10
K213459,10
K214921,10
K213241,10
K213233,0
K214858,10
K213439,4
K214665,4
K214500,10
K213331,4
K214582,10
K213364,10
K213463,2
K201889,10
K214578,10
K213296,7
K213459,8
K214601,2
K213261 copy,10
K214693 copy,5
K214878 copy,10
K213160 copy,6
K213223 copy,10
K214657 copy,0
K213380 copy,7
K214920 copy,10
K213370 copy,10
K214901 copy,5
K213286 copy,9
K214933 copy,3
K214944 copy,3
K213181 copy,4
K213444 copy,2
K214508 copy,3
K214581 copy,3
K213155 copy,5
K213376 copy,5
K213165 copy,3
K214536 copy,7
K213286 copy,9
K213348 copy,5
K213303 copy,1
K214835 copy,3
K214675 copy,1
K213274 copy,1
K214836 copy,4
K214855 copy,5
K213307 copy,3
K214541 copy,3
K214677 copy,3
K214664 copy,7
K213170 copy,3
K213306 copy,10
K214842 copy,2
K213311 copy,4
K213374 copy,10
K213326 copy,0
K214868 copy,2
K213339 copy,3
K214867 copy,3
K213309 copy,10
K213436 copy,6
K213188 copy,2
K214866 copy,10
K214929 copy,2
K213291 copy,4
K201903 copy,4
K214655 copy,10
K213273 copy,2
K213383 copy,1
K214834 copy,0
K213240 copy,10
K213335 copy,2
K213249 copy,2
K213248 copy,4
K213177 copy,5
K214866 copy,10
K214600 copy,1
K214827 copy,5
K213154 copy,10
K213154 copy,6
K213329 copy,0
K213211 copy,4
K214588 copy,0
